body,type,exact_answer,predicted_answers,predicted_answer_pos
"What is the Versene Solution used for?",factoid,[['for the detachment of cells']],"[['prometaphase bearing spreads'], ['regenerative medicine'], ['brightness temperature'], ['methotrexate'], ['cardiac repair']]",0
"What is the indication for Favipiravir?",factoid,"[['Covid-19', 'influenza']]","[['influenza'], ['Coronavirus disease'], ['coronavirus disease 2019'], ['encephalitis']]",1
"Which syndrome is caused by pathogenic COL4A3-COL4A5 variants?",factoid,[['Alport syndrome']],"[['Alport syndrome'], ['IgA glomerulonephritis may be coincidental. However, pathogenic variants in these conditions occur more often than they should by chance, which suggests that the variants are disease-causing. COL4A3-COL4A5 variants are also found in cystic kidney diseases']]",1
"Which disease do pathogenic NR2F1 variants cause?",factoid,"[['Bosch-Boonstra-Schaaf optic atrophy syndrome', 'BBSOAS']]",[['BBSOAS']],1
"Which mutation is targeted by Tepotinib?",factoid,[['MET Exon 14 Skipping Mutation']],"[['METex14'], ['capmatinib'], ['oncogenic'], ['exon 14 skipping mutation']]",4
Nemolizumab has been shown to be effective for which disease?,factoid,[['atopic dermatitis']],[['atopic dermatitis']],1
What is the mammalian version of arginine vasotocin?,factoid,[['Arginine vasopressin (AVP)']],"[['arginine vasopressin'], ['arginine-vasopressin'], ['AVT']]",1
Which kinase does PD98059 inhibit?,factoid,[['MEK']],"[['MEK'], ['MAPK']]",1
What is caused by loss-of-function variants in BCAS3?,factoid,[['A syndromic neurodevelopmental disorder']],"[['neurodevelopmental disorder'], ['dysregulated']]",1
What is the main use of ETD fragmentation?,factoid,[['Analysis of intact proteins']],"[['Electron transfer dissociation'], ['O-glycosylation'], ['electron capture dissociation'], ['Electron-transfer/Higher Energy Collision Dissociation'], ['Electron Transfer Dissociation (ETD) for analyte fragmentation']]",5
What is Congo red agar plates used for?,factoid,[['Assessment of bacterial biofilm-formation ability.']],"[['Biofilm formation'], ['biofilm'], ['biofilm-producers'], ['slime production'], ['biofilms']]",1
What is the protein that is truncated to produce progerin?,factoid,"[['lamin-A', 'prelamin', 'lamin a', 'progerin', 'lamin A (LMNA)']]","[['prelamin A'], ['lamin A'], ['lamin']]",1
What treatment was studied in the KEYNOTE-522 trial?,factoid,[['pembrolizumab']],"[['pembrolizumab'], ['adjuvant pembrolizumab'], ['Pembrolizumab plus chemotherapy']]",1
Which disease is associated with DNAJB1-PRKACA fusion gene?,factoid,[['Fibrolamellar carcinoma']],"[['Fibrolamellar carcinoma'], ['FLC'], ['fibrolamellar carcinoma']]",1
When was dupilumab approved by EMA?,factoid,[['2017']],[['2017']],1
Aducanumab can be used for treatment of which disease?,factoid,"[[""Alzheimer's disease""]]","[[""Alzheimer's disease""]]",1
Covid-19 is though to have arisen from what species?,factoid,[['bats']],"[['bats'], ['coronaviruses'], ['bat']]",1
Where are Goblet cells localized?,factoid,[['Epithelium']],"[['intestine'], ['airway epithelium'], ['epithelial lining'], ['Conjunctival goblet cells (CGCs) are specialized cells that produce and secrete soluble mucins to the tear film that bathes the ocular surface'], ['digestive tract mucosal layer of the matrinx? Brycon amazonicus, an omnivorous freshwater fish endemic from the Amazon basin. This species presents short thick oesophagus with longitudinal folds, that allow the passage of large food items. The mucosa is lined with a stratified secretory epithelium']]",3
What is the brand name for erenumab?,factoid,[['Aimovig']],"[['Aimovig'], ['SureClick®autoinjector'], ['AIMOVIG™, erenumab-aooe']]",1
Which protein does capmatinib bind?,factoid,"[['MET', 'mesenchymal-epithelial transition']]",[['MET']],1
What is carboxyglutamate?,factoid,[['carboxyglutamateis a  a post-translational glutamic acidof']],"[['peptide-bound glutamate'], ['Glutamic acid'], ['gamma-glutamyl carboxylase'], ['carboxylation'], ['triple negative breast cancer']]",0
Which company produces the HercepTest?,factoid,[['DAKO']],"[['FDA'], ['LDT']]",0
In what year did Gregor Mendel die?,factoid,[['1884']],"[['1884'], ['1864'], ['1865'], ['1873']]",1
